index	Gp
388	-126.6587
389	-125.7747
390	-124.8970
391	-124.0253
392	-123.1597
393	-122.3002
394	-121.4466
395	-120.5990
396	-119.7574
397	-118.9216
398	-118.0916
399	-117.2674
400	-116.4490
401	-115.6363
402	-114.8293
403	-114.0279
404	-113.2321
405	-112.4418
406	-111.6571
407	-110.8778
408	-110.1040
409	-109.3356
410	-108.5725
411	-107.8148
412	-107.0623
413	-106.3151
414	-105.5731
415	-104.8363
416	-104.1047
417	-103.3781
418	-102.6566
419	-101.9402
420	-101.2287
421	-100.5222
422	-99.8207
423	-99.1240
424	-98.4322
425	-97.7453
426	-97.0631
427	-96.3857
428	-95.7130
429	-95.0450
430	-94.3817
431	-93.7230
432	-93.0689
433	-92.4194
434	-91.7744
435	-91.1339
436	-90.4978
437	-89.8662
438	-89.2391
439	-88.6162
440	-87.9978
441	-87.3836
442	-86.7738
443	-86.1682
444	-85.5668
445	-84.9696
446	-84.3766
447	-83.7877
448	-83.2030
449	-82.6223
450	-82.0457
451	-81.4731
452	-80.9045
453	-80.3398
454	-79.7791
455	-79.2223
456	-78.6694
457	-78.1204
458	-77.5752
459	-77.0338
460	-76.4962
461	-75.9623
462	-75.4321
463	-74.9057
464	-74.3829
465	-73.8638
466	-73.3483
467	-72.8364
468	-72.3281
469	-71.8233
470	-71.3220
471	-70.8243
472	-70.3300
473	-69.8391
474	-69.3517
475	-68.8677
476	-68.3871
477	-67.9098
478	-67.4358
479	-66.9652
480	-66.4979
481	-66.0338
482	-65.5729
483	-65.1153
484	-64.6608
485	-64.2095
486	-63.7614
487	-63.3164
488	-62.8745
489	-62.4357
490	-62.0000
491	-61.5673
492	-61.1376
493	-60.7109
494	-60.2872
495	-59.8665
496	-59.4486
497	-59.0337
498	-58.6217
499	-58.2126
500	-57.8063
501	-57.4029
502	-57.0023
503	-56.6045
504	-56.2094
505	-55.8171
506	-55.4276
507	-55.0407
508	-54.6566
509	-54.2752
510	-53.8964
511	-53.5202
512	-53.1467
513	-52.7758
514	-52.4075
515	-52.0417
516	-51.6785
517	-51.3178
518	-50.9597
519	-50.6040
520	-50.2509
521	-49.9001
522	-49.5519
523	-49.2061
524	-48.8627
525	-48.5216
526	-48.1830
527	-47.8467
528	-47.5128
529	-47.1812
530	-46.8519
531	-46.5249
532	-46.2002
533	-45.8778
534	-45.5576
535	-45.2397
536	-44.9239
537	-44.6104
538	-44.2991
539	-43.9899
540	-43.6829
541	-43.3780
542	-43.0753
543	-42.7747
544	-42.4761
545	-42.1797
546	-41.8853
547	-41.5930
548	-41.3027
549	-41.0144
550	-40.7282
551	-40.4440
552	-40.1617
553	-39.8814
554	-39.6031
555	-39.3267
556	-39.0522
557	-38.7797
558	-38.5090
559	-38.2403
560	-37.9734
561	-37.7084
562	-37.4452
563	-37.1839
564	-36.9243
565	-36.6666
566	-36.4107
567	-36.1566
568	-35.9043
569	-35.6537
570	-35.4049
571	-35.1578
572	-34.9124
573	-34.6688
574	-34.4268
575	-34.1865
576	-33.9479
577	-33.7110
578	-33.4757
579	-33.2421
580	-33.0101
581	-32.7797
582	-32.5510
583	-32.3238
584	-32.0982
585	-31.8742
586	-31.6517
587	-31.4308
588	-31.2115
589	-30.9936
590	-30.7773
591	-30.5625
592	-30.3492
593	-30.1374
594	-29.9271
595	-29.7182
596	-29.5108
597	-29.3049
598	-29.1003
599	-28.8973
600	-28.6956
601	-28.4953
602	-28.2964
603	-28.0990
604	-27.9028
605	-27.7081
606	-27.5147
607	-27.3227
608	-27.1320
609	-26.9427
610	-26.7546
611	-26.5679
612	-26.3825
613	-26.1984
614	-26.0155
615	-25.8340
616	-25.6537
617	-25.4746
618	-25.2968
619	-25.1203
620	-24.9450
621	-24.7709
622	-24.5980
623	-24.4263
624	-24.2558
625	-24.0866
626	-23.9185
627	-23.7515
628	-23.5858
629	-23.4212
630	-23.2577
631	-23.0954
632	-22.9342
633	-22.7741
634	-22.6152
635	-22.4574
636	-22.3006
637	-22.1450
638	-21.9904
639	-21.8370
640	-21.6846
641	-21.5332
642	-21.3829
643	-21.2337
644	-21.0855
645	-20.9384
